CntyName,MedHI
Anderson,42412
Andrews,63451
Angelina,45318
Aransas,46970
Archer,58311
Armstrong,55337
Atascosa,48636
Austin,61111
Bailey,42045
Bandera,55578
Bastrop,62992
Baylor,37013
Bee,41392
Bell,52164
Bexar,54163
Blanco,62115
Borden,59039
Bosque,49139
Bowie,49153
Brazoria,80840
Brazos,46083
Brewster,44617
Briscoe,42678
Brooks,28106
Brown,41538
Burleson,47409
Burnet,59009
Caldwell,51895
Calhoun,55240
Callahan,45843
Cameron,36624
Camp,41932
Carson,60668
Cass,40104
Castro,41746
Chambers,81018
Cherokee,47147
Childress,40925
Clay,53438
Cochran,40796
Coke,42314
Coleman,35596
Collin,95394
Collingsworth,39809
Colorado,49100
Comal,72562
Comanche,46161
Concho,42723
Cooke,57382
Coryell,51486
Cottle,36201
Crane,56356
Crockett,44991
Crosby,36942
Culberson,37825
Dallam,47838
Dallas,56732
Dawson,42127
Deaf Smith,42698
Delta,41644
Denton,86462
DeWitt,47657
Dickens,38702
Dimmit,35696
Donley,41867
Duval,33495
Eastland,39620
Ector,54422
Edwards,35164
Ellis,71512
El Paso,44120
Erath,48230
Falls,35988
Fannin,50598
Fayette,56320
Fisher,47292
Floyd,41390
Foard,35007
Fort Bend,91661
Franklin,44358
Freestone,47616
Frio,37853
Gaines,52138
Galveston,69674
Garza,46587
Gillespie,58412
Glasscock,78088
Goliad,52403
Gonzales,45052
Gray,46599
Grayson,54431
Gregg,47208
Grimes,48023
Guadalupe,66886
Hale,43570
Hall,32980
Hamilton,44230
Hansford,55761
Hardeman,39022
Hardin,58829
Harris,58664
Harrison,50584
Hartley,69000
Haskell,35075
Hays,66525
Hemphill,64338
Henderson,44500
Hidalgo,36978
Hill,47162
Hockley,48449
Hood,64687
Hopkins,44925
Houston,37723
Howard,46899
Hudspeth,39683
Hunt,53421
Hutchinson,53465
Irion,63827
Jack,47824
Jackson,49350
Jasper,43368
Jeff Davis,38537
Jefferson,47852
Jim Hogg,32319
Jim Wells,40681
Johnson,61813
Jones,44132
Karnes,48708
Kaufman,65942
Kendall,89637
Kenedy,38031
Kent,45330
Kerr,49748
Kimble,41081
King,56346
Kinney,42650
Kleberg,41257
Knox,37749
Lamar,47212
Lamb,41099
Lampasas,55759
La Salle,41518
Lavaca,51191
Lee,54164
Leon,43189
Liberty,50420
Limestone,41434
Lipscomb,54091
Live Oak,50430
Llano,51078
Loving,65203
Lubbock,47460
Lynn,44567
McCulloch,40157
McLennan,47306
McMullen,68133
Madison,42058
Marion,36936
Martin,59907
Mason,47213
Matagorda,46801
Maverick,33507
Medina,56173
Menard,34033
Midland,76307
Milam,44855
Mills,42463
Mitchell,41512
Montague,47590
Montgomery,77149
Moore,51444
Morris,39627
Motley,36782
Nacogdoches,42367
Navarro,41944
Newton,41736
Nolan,42662
Nueces,51910
Ochiltree,58962
Oldham,55451
Orange,57257
Palo Pinto,45869
Panola,48971
Parker,74076
Parmer,48189
Pecos,44352
Polk,44596
Potter,43778
Presidio,29761
Rains,43403
Randall,63077
Reagan,58168
Real,36146
Red River,35643
Reeves,40694
Refugio,42898
Roberts,67688
Robertson,44355
Rockwall,98442
Runnels,41830
Rusk,49872
Sabine,37770
San Augustine,39133
San Jacinto,44707
San Patricio,50752
San Saba,43112
Schleicher,45821
Scurry,51772
Shackelford,61155
Shelby,39745
Sherman,49349
Smith,54044
Somervell,62803
Starr,28377
Stephens,41977
Sterling,55690
Stonewall,43702
Sutton,57986
Swisher,41264
Tarrant,65021
Taylor,50338
Terrell,39033
Terry,40899
Throckmorton,38162
Titus,47097
Tom Green,49462
Travis,72785
Trinity,34741
Tyler,43394
Upshur,47517
Upton,56448
Uvalde,39610
Val Verde,41441
Van Zandt,50308
Victoria,52161
Walker,42304
Waller,55224
Ward,53242
Washington,51276
Webb,41979
Wharton,46194
Wheeler,45356
Wichita,44593
Wilbarger,40353
Willacy,30392
Williamson,82131
Wilson,70829
Winkler,51965
Wise,60675
Wood,49739
Yoakum,58363
Young,44909
Zapata,32172
Zavala,28867